北京爱数智慧语音采集我们聊的第一个话题是娱乐  (G0004_S0001_0_SPK001-26.048-31.870.wav)
 ok ok  (G0012_S0002_0_SPK004-12.110-12.970.wav)
北京爱数呃智慧语音采集话题动物  (G0012_S0002_0_SPK004-13.460-17.710.wav)
嗯  (G0012_S0002_0_SPK004-22.910-23.620.wav)
 your animals  (G0012_S0002_0_SPK004-23.840-25.300.wav)
 you know do you like animals  (G0012_S0002_0_SPK004-25.666-27.700.wav)
啊一  (G0012_S0002_0_SPK004-33.320-34.270.wav)
 ok end of就是那些特别可爱的动物哈  (G0012_S0002_0_SPK004-35.570-38.740.wav)
猫狗啊还有那个就是看起来很 beautiful looks very beautiful那种动物  (G0012_S0002_0_SPK004-41.212-47.508.wav)
就颜值比较高一些动物哈  (G0012_S0002_0_SPK004-48.500-50.440.wav)
嗯  (G0012_S0002_0_SPK004-53.480-54.010.wav)
呃恐雀 yes i i i know i know恐雀  (G0012_S0002_0_SPK004-55.790-58.822.wav)
 i love雀  (G0012_S0002_0_SPK004-59.210-60.370.wav)
 because  (G0012_S0002_0_SPK004-61.550-62.320.wav)
嗯孔雀孔雀开屏的时候非常漂亮  (G0012_S0002_0_SPK004-62.810-66.172.wav)
 one the孔雀 spread their wings  (G0012_S0002_0_SPK004-66.560-70.353.wav)
呃用到 so beautiful  (G0012_S0002_0_SPK004-70.760-72.929.wav)
 it's look looks like look so shining  (G0012_S0002_0_SPK004-74.360-77.332.wav)
光彩照人  (G0012_S0002_0_SPK004-78.293-79.180.wav)
然后五元六次 color听到  (G0012_S0002_0_SPK004-80.774-82.942.wav)
 yes  (G0012_S0002_0_SPK004-85.220-85.870.wav)
嗯  (G0012_S0002_0_SPK004-88.790-89.380.wav)
嗯  (G0012_S0002_0_SPK004-93.440-93.970.wav)
嗯  (G0012_S0002_0_SPK004-99.350-99.910.wav)
 yes  (G0012_S0002_0_SPK004-100.460-101.140.wav)
 there those you you know you can考考考的人 best  (G0012_S0002_0_SPK004-102.560-106.990.wav)
野兽啊  (G0012_S0002_0_SPK004-107.438-108.160.wav)
 yes  (G0012_S0002_0_SPK004-108.890-109.480.wav)
 are right like blindings  (G0012_S0002_0_SPK004-109.970-111.692.wav)
嗯来可  (G0012_S0002_0_SPK004-112.250-113.590.wav)
 at tiger  (G0012_S0002_0_SPK004-113.870-114.880.wav)
 yes  (G0012_S0002_0_SPK004-119.180-119.920.wav)
嗯  (G0012_S0002_0_SPK004-122.120-122.552.wav)
呃那你经常去动物园吗  (G0012_S0002_0_SPK004-123.380-125.710.wav)
呃 you often do you go often go to zoo  (G0012_S0002_0_SPK004-126.200-131.050.wav)
 to see those animals  (G0012_S0002_0_SPK004-131.930-133.360.wav)
 sometimes  (G0012_S0002_0_SPK004-136.340-137.170.wav)
那我是很喜欢去动物园里看那些动物的  (G0012_S0002_0_SPK004-138.080-140.803.wav)
呃里面有些动物园呃像成都的动物园那 zo音成都  (G0012_S0002_0_SPK004-141.410-146.869.wav)
嗯 you know so many animals  (G0012_S0002_0_SPK004-147.230-149.470.wav)
就看 c  (G0012_S0002_0_SPK004-150.320-151.090.wav)
呃 an you can also see pander  (G0012_S0002_0_SPK004-151.700-154.090.wav)
呃大熊猫  (G0012_S0002_0_SPK004-154.520-155.470.wav)
也是  (G0012_S0002_0_SPK004-158.840-159.784.wav)
 yes is cute  (G0012_S0002_0_SPK004-160.580-161.710.wav)
 yes  (G0012_S0002_0_SPK004-172.550-173.410.wav)
心情非常的害怕  (G0012_S0002_0_SPK004-174.500-176.289.wav)
嗯  (G0012_S0002_0_SPK004-178.557-178.926.wav)
对非常享受 you you enjoy  (G0012_S0002_0_SPK004-179.420-181.660.wav)
 playing with so animals  (G0012_S0002_0_SPK004-182.000-183.760.wav)
跟那些动物玩儿也会很享受因为他们太可爱了哈  (G0012_S0002_0_SPK004-184.250-187.840.wav)
嗯  (G0012_S0002_0_SPK004-188.900-189.400.wav)
 yes  (G0012_S0002_0_SPK004-199.100-199.930.wav)
 yes  (G0012_S0002_0_SPK004-200.180-200.800.wav)
嗯  (G0012_S0002_0_SPK004-201.170-201.670.wav)
 it's like a段子  (G0012_S0002_0_SPK004-202.400-204.100.wav)
莱克  (G0012_S0002_0_SPK004-204.350-205.060.wav)
呃笑话  (G0012_S0002_0_SPK004-205.400-207.040.wav)
嗯对对对就是说说是每个中国人成念之后哈都可以领取一只大熊猫  (G0012_S0002_0_SPK004-208.460-214.380.wav)
嗯 i know i know in know呃 many not one not too but many foreigners  (G0012_S0002_0_SPK004-215.060-222.054.wav)
很多  (G0012_S0002_0_SPK004-222.500-223.270.wav)
不是一个  (G0012_S0002_0_SPK004-223.670-224.200.wav)
从外  (G0012_S0002_0_SPK004-224.660-225.160.wav)
它们都都会呃 say say like that  (G0012_S0002_0_SPK004-225.680-229.780.wav)
呃 this is every chinese took a took a pander as pet当当宠物  (G0012_S0002_0_SPK004-231.200-237.255.wav)
当宠物在一样  (G0012_S0002_0_SPK004-237.797-238.750.wav)
那就很好笑但是也说明 pander is very famous  (G0012_S0002_0_SPK004-240.320-244.570.wav)
其实 pander非常的有名  (G0012_S0002_0_SPK004-245.089-247.330.wav)
 yes the also like paer  (G0012_S0002_0_SPK004-251.600-253.570.wav)
呃 i呃 last time i went to zo上一次我去动物园是几年前两年前  (G0012_S0002_0_SPK004-254.750-260.620.wav)
然后 i went to  (G0012_S0002_0_SPK004-261.168-262.294.wav)
呃 zo full of pandas  (G0012_S0002_0_SPK004-263.450-265.480.wav)
 too many so many pandass呃呃 small pener big paer  (G0012_S0002_0_SPK004-266.270-271.049.wav)
呃  (G0012_S0002_0_SPK004-271.760-272.350.wav)
 mail undernder and fe pa her  (G0012_S0002_0_SPK004-273.920-276.131.wav)
 yes  (G0012_S0002_0_SPK004-277.490-278.170.wav)
 i watch i watch the sleep eat  (G0012_S0002_0_SPK004-278.420-282.279.wav)
嗯 play  (G0012_S0002_0_SPK004-282.830-283.519.wav)
呃然后就是  (G0012_S0002_0_SPK004-284.030-285.550.wav)
看着他们有的时候呃在睡觉啊吃饭啊然后  (G0012_S0002_0_SPK004-285.770-291.002.wav)
呃  (G0012_S0002_0_SPK004-291.380-292.450.wav)
就非常可爱  (G0012_S0002_0_SPK004-292.910-293.980.wav)
然后然后有有的时候  (G0012_S0002_0_SPK004-296.237-298.900.wav)
 yes  (G0012_S0002_0_SPK004-299.150-299.890.wav)
 yes they are so lovely  (G0012_S0002_0_SPK004-300.650-302.528.wav)
嗯  (G0012_S0002_0_SPK004-303.920-304.450.wav)
呃 and you know so many people  (G0012_S0002_0_SPK004-305.120-307.458.wav)
也 crowd  (G0012_S0002_0_SPK004-308.000-308.980.wav)
嗯人非常多然后大家都盯着  (G0012_S0002_0_SPK004-309.530-312.430.wav)
呃停着大熊猫看玩儿  (G0012_S0002_0_SPK004-312.950-316.074.wav)
嗯  (G0012_S0002_0_SPK004-318.350-318.850.wav)
 yes  (G0012_S0002_0_SPK004-331.130-331.900.wav)
啊 yes  (G0012_S0002_0_SPK004-341.390-342.340.wav)
 the life the life熊猫 life panda  (G0012_S0002_0_SPK004-354.020-357.100.wav)
 yes  (G0012_S0002_0_SPK004-358.910-359.553.wav)
嗯  (G0012_S0002_0_SPK004-361.310-362.050.wav)
 and除了熊猫 except panda  (G0012_S0002_0_SPK004-362.840-365.913.wav)
呃 what animals呃 do you love the most你最喜欢哪种动物呢  (G0012_S0002_0_SPK004-366.467-372.278.wav)
嗯  (G0012_S0002_0_SPK004-386.480-387.160.wav)
嗯  (G0012_S0002_0_SPK004-390.890-391.287.wav)
嗯就是  (G0012_S0002_0_SPK004-393.530-394.870.wav)
 just like  (G0012_S0002_0_SPK004-395.660-397.420.wav)
 but you know  (G0012_S0002_0_SPK004-397.790-398.920.wav)
 you don't like it  (G0012_S0002_0_SPK004-399.200-400.300.wav)
白仁马气  (G0012_S0002_0_SPK004-400.940-401.770.wav)
 yes  (G0012_S0002_0_SPK004-407.060-407.860.wav)
呃 i love you know呃除了熊猫以外我比较喜欢老鼠  (G0012_S0002_0_SPK004-409.130-414.474.wav)
我最喜欢的动物去老虎 my favorite animal i love tiger  (G0012_S0002_0_SPK004-414.860-418.829.wav)
 so much  (G0012_S0002_0_SPK004-419.060-419.950.wav)
呃有呢 tiger  (G0012_S0002_0_SPK004-420.590-422.140.wav)
很多人把老虎叫大猫 they they call tiger  (G0012_S0002_0_SPK004-422.538-426.273.wav)
呃 the big cat  (G0012_S0002_0_SPK004-426.560-427.720.wav)
 the bill cat  (G0012_S0002_0_SPK004-429.440-430.660.wav)
嗯 they are lovely  (G0012_S0002_0_SPK004-431.210-432.820.wav)
呃虽然他们在野外非常的凶猛  (G0012_S0002_0_SPK004-433.220-435.790.wav)
嗯 they are very refuse in the while  (G0012_S0002_0_SPK004-436.700-439.770.wav)
呃 but  (G0012_S0002_0_SPK004-440.540-442.270.wav)
呃 they looks  (G0012_S0002_0_SPK004-442.910-444.370.wav)
 a loction so  (G0012_S0002_0_SPK004-444.650-446.170.wav)
 so cute so lovei inzo  (G0012_S0002_0_SPK004-446.510-449.440.wav)
呃当他们被关在笼子里的时候在动物园里面的时候  (G0012_S0002_0_SPK004-450.110-453.730.wav)
啊用到 in enc case呃笼子里面的时候  (G0012_S0002_0_SPK004-454.070-457.472.wav)
呃 those tigers so lovely  (G0012_S0002_0_SPK004-457.820-460.720.wav)
呃 and那饲养员会  (G0012_S0002_0_SPK004-461.180-464.465.wav)
呃会会给他们投食  (G0012_S0002_0_SPK004-464.900-467.020.wav)
 through meat  (G0012_S0002_0_SPK004-467.540-468.820.wav)
呃 in the into the cages this day  (G0012_S0002_0_SPK004-469.490-472.780.wav)
 and you know they  (G0012_S0002_0_SPK004-473.180-475.150.wav)
呃他们会迅速地跳起来跳两三米高去接住那些肉  (G0012_S0002_0_SPK004-475.520-479.440.wav)
嗯  (G0012_S0002_0_SPK004-480.650-481.270.wav)
也是收  (G0012_S0002_0_SPK004-481.550-482.710.wav)
呃 so same so strong  (G0012_S0002_0_SPK004-483.110-484.960.wav)
 so smart特别灵活特别强壮  (G0012_S0002_0_SPK004-485.510-488.246.wav)
然后这时候你才会想起来他们其实是野兽而不是很可爱的宠物  (G0012_S0002_0_SPK004-489.050-494.028.wav)
 their best  (G0012_S0002_0_SPK004-494.660-495.640.wav)
对  (G0012_S0002_0_SPK004-498.590-499.150.wav)
嗯  (G0012_S0002_0_SPK004-500.030-500.486.wav)
嗯进入兔子  (G0012_S0002_0_SPK004-505.190-506.980.wav)
动作推土  (G0012_S0002_0_SPK004-507.410-508.510.wav)
嗯  (G0012_S0002_0_SPK004-509.120-509.680.wav)
好好多谁来  (G0012_S0002_0_SPK004-510.200-511.600.wav)
 yes  (G0012_S0002_0_SPK004-515.870-516.490.wav)
 it's also right  (G0012_S0002_0_SPK004-517.400-518.289.wav)
 you still like a  (G0012_S0002_0_SPK004-518.539-520.150.wav)
呃 children and one you move用功夫 like可  (G0012_S0002_0_SPK004-520.580-524.260.wav)
 sound and lightning  (G0012_S0002_0_SPK004-524.750-526.120.wav)
嗯就是  (G0012_S0002_0_SPK004-527.570-528.768.wav)
进不热柱子动热脱兔哈  (G0012_S0002_0_SPK004-529.010-530.980.wav)
对让我想起那种感觉 and i also  (G0012_S0002_0_SPK004-532.430-535.572.wav)
 c  (G0012_S0002_0_SPK004-536.253-536.903.wav)
呃 many richge people很多有钱人  (G0012_S0002_0_SPK004-537.230-539.380.wav)
他们会养老鼠都为宠物他们会老虎作为宠物 they keep tigers as their pet  (G0012_S0002_0_SPK004-540.140-545.815.wav)
嗯  (G0012_S0002_0_SPK004-546.530-547.030.wav)
说我运动 when i  (G0012_S0002_0_SPK004-547.520-549.100.wav)
嗯 be rich something when i when somed i i i be become reach man  (G0012_S0002_0_SPK004-549.680-555.092.wav)
 i you know i i i i may be think of  (G0012_S0002_0_SPK004-555.746-559.656.wav)
呃 taking a tiger  (G0012_S0002_0_SPK004-560.120-562.000.wav)
养一只老虎当宠物  (G0012_S0002_0_SPK004-562.340-563.953.wav)
因为我觉得非常的帅气啊  (G0012_S0002_0_SPK004-564.620-566.380.wav)
嗯  (G0012_S0002_0_SPK004-568.520-569.020.wav)
把他动 know  (G0012_S0002_0_SPK004-569.480-570.670.wav)
呃 ok  (G0012_S0002_0_SPK004-573.140-574.360.wav)
啊但是我不知道能不能写出  (G0012_S0002_0_SPK004-574.790-576.461.wav)
不知道能不能养但是呃 when i when i reach enough当我足够有钱的时候 i  (G0012_S0002_0_SPK004-577.160-583.216.wav)
呃 certainly  (G0012_S0002_0_SPK004-583.910-585.522.wav)
 i  (G0012_S0002_0_SPK004-585.890-586.570.wav)
我非常非常想养一只老虎  (G0012_S0002_0_SPK004-586.790-589.120.wav)
嗯  (G0012_S0002_0_SPK004-591.890-592.420.wav)
哦 yes they have a  (G0012_S0002_0_SPK004-603.440-605.320.wav)
 the road shirt  (G0012_S0002_0_SPK004-605.780-607.570.wav)
嗯 again  (G0012_S0002_0_SPK004-608.000-609.354.wav)
 yes它没有进化色的皮吗  (G0012_S0002_0_SPK004-610.550-612.430.wav)
对  (G0012_S0002_0_SPK004-616.700-617.350.wav)
嗯名词  (G0012_S0002_0_SPK004-620.660-622.067.wav)
 miss many money miss rich哈  (G0012_S0002_0_SPK004-622.640-624.880.wav)
 yes  (G0012_S0002_0_SPK004-627.080-627.910.wav)
所以它也是一种比较激励的象征哈 it's very  (G0012_S0002_0_SPK004-628.310-632.291.wav)
呃  (G0012_S0002_0_SPK004-632.727-633.454.wav)
呃就是 it's a symbol of rich and four  (G0012_S0002_0_SPK004-633.800-638.419.wav)
就是他们是极力也有钱财富的象征哈  (G0012_S0002_0_SPK004-641.720-644.680.wav)
嗯  (G0012_S0002_0_SPK004-649.910-650.530.wav)
对对对金钱报  (G0012_S0002_0_SPK004-653.240-654.970.wav)
嗯  (G0012_S0002_0_SPK004-655.730-656.230.wav)
 yes  (G0012_S0002_0_SPK004-657.140-657.892.wav)
 yes呃 how to say金钱报呃 like  (G0012_S0002_0_SPK004-658.340-661.980.wav)
呃 golden  (G0012_S0002_0_SPK004-662.210-663.970.wav)
 good li  (G0012_S0002_0_SPK004-664.400-665.620.wav)
 golden money  (G0012_S0002_0_SPK004-666.857-668.470.wav)
嗯  (G0012_S0002_0_SPK004-671.060-671.650.wav)
也  (G0012_S0002_0_SPK004-672.980-673.430.wav)
 maybe maybe呃 you can call call it  (G0012_S0002_0_SPK004-674.450-677.200.wav)
嗯你可以这么叫他  (G0012_S0002_0_SPK004-678.350-679.643.wav)
呃金钱报金钱报也是非常可爱的 laugh animal  (G0012_S0002_0_SPK004-680.330-684.265.wav)
 looks very cute  (G0012_S0002_0_SPK004-685.550-686.950.wav)
 yes  (G0012_S0002_0_SPK004-687.650-688.270.wav)
 but  (G0012_S0002_0_SPK004-688.946-689.573.wav)
呃  (G0012_S0002_0_SPK004-690.020-690.820.wav)
 but you know it's稀有动物  (G0012_S0002_0_SPK004-691.760-694.039.wav)
 it's protected animals in china  (G0012_S0002_0_SPK004-695.030-697.360.wav)
呃  (G0012_S0002_0_SPK004-698.210-698.860.wav)
它是中国的保护动物  (G0012_S0002_0_SPK004-699.290-701.200.wav)
然后一到中国的法律会保护这些稀有的动物 the chinese law they protect those animals  (G0012_S0002_0_SPK004-701.540-708.391.wav)
嗯所以说你并不会经常见到金钱包  (G0012_S0002_0_SPK004-709.070-712.210.wav)
呃还有一些其他的像雪豹  (G0012_S0002_0_SPK004-713.650-716.723.wav)
呃 the slowlyable  (G0012_S0002_0_SPK004-717.560-720.057.wav)
呃偶尔 our  (G0012_S0002_0_SPK004-720.620-722.654.wav)
泄露  (G0012_S0002_0_SPK004-723.110-723.730.wav)
 the报子呃 the labored嗯 you don't see the two often  (G0012_S0002_0_SPK004-724.100-729.250.wav)
 yes in the mountain and see in the mountain and forest  (G0012_S0002_0_SPK004-736.160-739.360.wav)
嗯  (G0012_S0002_0_SPK004-745.850-746.500.wav)
 yes  (G0012_S0002_0_SPK004-749.810-750.550.wav)
嗯  (G0012_S0002_0_SPK004-753.890-754.450.wav)
呃 maybe one day we  (G0012_S0002_0_SPK004-755.330-757.255.wav)
 go outside我们出去玩儿去野外  (G0012_S0002_0_SPK004-757.940-760.911.wav)
去那种呃呃就是  (G0012_S0002_0_SPK004-761.090-763.679.wav)
去那种非常远的 far places呃去那种有的 mountain and forest  (G0012_S0002_0_SPK004-763.970-770.290.wav)
呃 there where there is nobody就是那种无人的地方  (G0012_S0002_0_SPK004-770.960-774.755.wav)
呃我们可能会见到  (G0012_S0002_0_SPK004-775.250-776.799.wav)
这种非常稀有的 animals  (G0012_S0002_0_SPK004-777.243-779.510.wav)
 yes also用到藏铃羊  (G0012_S0002_0_SPK004-782.186-784.661.wav)
 west毛牛  (G0012_S0002_0_SPK004-788.180-789.250.wav)
 they live in西藏 they live in ti better  (G0012_S0002_0_SPK004-789.830-792.519.wav)
他们生活的西藏  (G0012_S0002_0_SPK004-793.580-794.860.wav)
呃是人迹罕至的地方  (G0012_S0002_0_SPK004-795.590-797.650.wav)
 yes  (G0012_S0002_0_SPK004-799.490-800.260.wav)
李  (G0012_S0002_0_SPK004-807.140-807.790.wav)
 unforgetable experience  (G0012_S0002_0_SPK004-810.380-812.950.wav)
啊  (G0012_S0002_0_SPK004-817.250-817.780.wav)
就是 remember it forever  (G0012_S0002_0_SPK004-820.278-821.710.wav)
嗯  (G0012_S0002_0_SPK004-827.780-828.340.wav)
嗯 one did you have this  (G0012_S0002_0_SPK004-831.263-833.716.wav)
呃 you know ex experiences就是你是什么时候有你是什么时候有这样一段经历的呢  (G0012_S0002_0_SPK004-834.072-839.299.wav)
啊 if哦 ok ok ok  (G0012_S0002_0_SPK004-841.880-843.760.wav)
呃有名 one day哈  (G0012_S0002_0_SPK004-844.250-845.830.wav)
你意思就是将来有一天哈  (G0012_S0002_0_SPK004-846.890-848.680.wav)
嗯  (G0012_S0002_0_SPK004-850.280-850.840.wav)
对 the wild the morning  (G0012_S0002_0_SPK004-854.718-856.300.wav)
 yes  (G0012_S0002_0_SPK004-859.760-860.410.wav)
 yes  (G0012_S0002_0_SPK004-861.800-862.540.wav)
对对对他们就像野兽一样啊 like fear best  (G0012_S0002_0_SPK004-864.890-868.402.wav)
嗯  (G0012_S0002_0_SPK004-869.330-869.920.wav)
 yes  (G0012_S0002_0_SPK004-870.230-870.820.wav)
 yes  (G0012_S0002_0_SPK004-878.090-878.770.wav)
啊 dear  (G0012_S0002_0_SPK004-880.700-881.980.wav)
 yes  (G0012_S0002_0_SPK004-882.410-883.210.wav)
就是很多那种  (G0012_S0002_0_SPK004-883.776-884.909.wav)
我们在动物园里看起呃看起来很温柔很 lovely很可爱  (G0012_S0002_0_SPK004-885.744-890.680.wav)
的那种动物其实他们在野外都是很凶残的野兽哈  (G0012_S0002_0_SPK004-890.990-894.977.wav)
嗯 yet like tiger bear呃毛牛  (G0012_S0002_0_SPK004-895.940-900.970.wav)
 yes sppecs  (G0012_S0002_0_SPK004-902.960-904.270.wav)
 yes  (G0012_S0002_0_SPK004-906.410-907.240.wav)
 they didn't look so lovely is in the world you know  (G0012_S0002_0_SPK004-908.090-911.920.wav)
呃对有可能是属于熊它并不是猫的一种画  (G0012_S0002_0_SPK004-919.280-922.900.wav)
 it's not one can the of cat  (G0012_S0002_0_SPK004-924.200-927.439.wav)
 yes  (G0012_S0002_0_SPK004-932.150-932.830.wav)
 so  (G0012_S0002_0_SPK004-934.850-935.650.wav)
 yes他们对会伤人  (G0012_S0002_0_SPK004-937.070-939.457.wav)
所以说呃当人们遇到  (G0012_S0002_0_SPK004-939.908-942.681.wav)
在野外遇到那些动物的时候其实要加强防备  (G0012_S0002_0_SPK004-944.049-946.782.wav)
要 be careful  (G0012_S0002_0_SPK004-947.758-948.587.wav)
对它们并不像在动物里动物园里那样的 lovely呃那样的呃 cute  (G0012_S0002_0_SPK004-950.900-956.620.wav)
 they are few and few animal their feel best  (G0012_S0002_0_SPK004-957.440-960.550.wav)
他们是很很性格暴列的那种野兽  (G0012_S0002_0_SPK004-961.580-965.108.wav)
啊然后  (G0012_S0002_0_SPK004-966.710-968.073.wav)
嗯  (G0012_S0002_0_SPK004-971.750-972.400.wav)
 hurt you哦  (G0012_S0002_0_SPK004-978.830-980.020.wav)
 make you hurt会伤会伤到你  (G0012_S0002_0_SPK004-981.360-984.670.wav)
也  (G0012_S0002_0_SPK004-986.360-986.980.wav)
嗯  (G0012_S0002_0_SPK004-987.830-988.360.wav)
嗯  (G0012_S0002_0_SPK004-989.840-990.430.wav)
嗯  (G0012_S0002_0_SPK004-993.020-993.670.wav)
嗯  (G0012_S0002_0_SPK004-995.240-995.860.wav)
嗯  (G0012_S0002_0_SPK004-1004.690-1005.370.wav)
嗯  (G0012_S0002_0_SPK004-1007.600-1008.130.wav)
呃呃 a room fall of lies  (G0012_S0002_0_SPK004-1010.390-1013.680.wav)
 yes crasy their sorezy  (G0012_S0002_0_SPK004-1017.200-1019.320.wav)
嗯  (G0012_S0002_0_SPK004-1022.570-1023.100.wav)
嗯  (G0012_S0002_0_SPK004-1027.069-1027.569.wav)
嗯想下走那些事子 they want they try to  (G0012_S0002_0_SPK004-1028.933-1031.890.wav)
 try图运动呃 make lyings toified make lyings嗯 fair  (G0012_S0002_0_SPK004-1032.217-1037.699.wav)
强  (G0012_S0002_0_SPK004-1038.290-1038.910.wav)
耶  (G0012_S0002_0_SPK004-1039.160-1039.867.wav)
想让  (G0012_S0002_0_SPK004-1040.569-1041.220.wav)
嗯然后呢 what about later  (G0012_S0002_0_SPK004-1042.098-1044.786.wav)
嗯  (G0012_S0002_0_SPK004-1047.050-1047.730.wav)
 like fighters  (G0012_S0002_0_SPK004-1049.330-1050.400.wav)
嗯  (G0012_S0002_0_SPK004-1056.320-1056.910.wav)
嗯  (G0012_S0002_0_SPK004-1059.200-1059.700.wav)
嗯  (G0012_S0002_0_SPK004-1063.790-1064.500.wav)
勇敢男人  (G0012_S0002_0_SPK004-1064.780-1065.880.wav)
嗯也很走远  (G0012_S0002_0_SPK004-1066.857-1068.280.wav)
对对对  (G0012_S0002_0_SPK004-1069.850-1070.770.wav)
也是  (G0012_S0002_0_SPK004-1071.410-1072.270.wav)
 wrong but you can  (G0012_S0002_0_SPK004-1077.611-1078.930.wav)
 you can win lose lies你肯定跑不赢那些狮子哈  (G0012_S0002_0_SPK004-1079.180-1083.753.wav)
 yes  (G0012_S0002_0_SPK004-1086.105-1086.610.wav)
对对对 you can't show their show them your back  (G0012_S0002_0_SPK004-1090.190-1094.698.wav)
你不能把后背漏给他们不然的话 you will be very dangerous  (G0012_S0002_0_SPK004-1095.080-1098.550.wav)
呃  (G0012_S0002_0_SPK004-1102.550-1103.410.wav)
 one out of nine lives九次医生  (G0012_S0002_0_SPK004-1104.980-1108.618.wav)
 means you have a little  (G0012_S0002_0_SPK004-1110.380-1112.470.wav)
呃 opportunityity to leave  (G0012_S0002_0_SPK004-1112.900-1114.510.wav)
 you have little chess to leave  (G0012_S0002_0_SPK004-1114.760-1116.580.wav)
 he have notice che nearly notice as to leave  (G0012_S0002_0_SPK004-1117.430-1120.000.wav)
 yeah all right  (G0012_S0002_0_SPK004-1121.690-1122.670.wav)
呃 and  (G0012_S0002_0_SPK004-1123.070-1124.470.wav)
嗯 yes so so you know that man so lucky那个男人很幸运  (G0012_S0002_0_SPK004-1125.620-1130.530.wav)
对  (G0012_S0002_0_SPK004-1131.830-1132.360.wav)
嗯  (G0012_S0002_0_SPK004-1132.814-1133.290.wav)
对对对  (G0012_S0002_0_SPK004-1134.800-1135.660.wav)
 yes  (G0012_S0002_0_SPK004-1138.220-1138.990.wav)
嗯  (G0012_S0002_0_SPK004-1141.490-1142.050.wav)
嗯  (G0012_S0002_0_SPK004-1147.490-1148.110.wav)
 christ animals对  (G0012_S0002_0_SPK004-1149.740-1151.479.wav)
对但是还是有很多可爱的动物哈很多 not that dangerous  (G0012_S0002_0_SPK004-1152.380-1156.990.wav)
 yes like gra来 those small animals那些小动物哈都是非常可爱  (G0012_S0002_0_SPK004-1159.940-1164.676.wav)
嗯像兔啊狗啊猫啊那些的  (G0012_S0002_0_SPK004-1165.070-1167.940.wav)
还有一个我觉得比较可爱的动物是马 horse  (G0012_S0002_0_SPK004-1168.340-1171.420.wav)
 yes  (G0012_S0002_0_SPK004-1172.960-1173.760.wav)
嗯  (G0012_S0002_0_SPK004-1176.110-1176.700.wav)
嗯  (G0012_S0002_0_SPK004-1178.330-1178.860.wav)
嗯 yes  (G0012_S0002_0_SPK004-1181.060-1182.040.wav)
 yes there using as a w他们被当成武器哈再一下  (G0012_S0002_0_SPK004-1182.500-1186.946.wav)
嗯  (G0012_S0002_0_SPK004-1187.570-1188.100.wav)
 yes yes  (G0012_S0002_0_SPK004-1190.630-1191.700.wav)
尤其是古代的时候哈  (G0012_S0002_0_SPK004-1192.190-1193.650.wav)
 especially ancient times  (G0012_S0002_0_SPK004-1194.140-1195.720.wav)
呃 house is a important resources它是一个重要的战略资源麻笔  (G0012_S0002_0_SPK004-1197.050-1204.360.wav)
啊马也可以被用来作为运输工具 they carry you know carry food  (G0012_S0002_0_SPK004-1204.820-1211.192.wav)
 carry water carry people  (G0012_S0002_0_SPK004-1211.570-1213.090.wav)
遇到 as a transportation  (G0012_S0002_0_SPK004-1213.400-1215.310.wav)
对  (G0012_S0002_0_SPK004-1215.800-1216.300.wav)
对  (G0012_S0002_0_SPK004-1216.820-1217.320.wav)
所以说我想我认为马是与人类的好朋友 horse is good friend  (G0012_S0002_0_SPK004-1218.995-1224.168.wav)
呃 to people  (G0012_S0002_0_SPK004-1224.440-1225.630.wav)
 is people good friend  (G0012_S0002_0_SPK004-1225.970-1227.400.wav)
嗯  (G0012_S0002_0_SPK004-1230.500-1231.000.wav)
 yes  (G0012_S0002_0_SPK004-1231.448-1231.991.wav)
嗯  (G0012_S0002_0_SPK004-1236.947-1237.235.wav)
 his hat  (G0012_S0002_0_SPK004-1237.550-1238.830.wav)
啊 yes  (G0012_S0002_0_SPK004-1241.840-1243.090.wav)
 they and message by patient  (G0012_S0002_0_SPK004-1243.520-1245.190.wav)
嗯然后  (G0012_S0002_0_SPK004-1245.440-1246.704.wav)
古人会训练歌子呃  (G0012_S0002_0_SPK004-1247.360-1250.143.wav)
用来送信  (G0012_S0002_0_SPK004-1250.572-1251.290.wav)
就是 they train the those pages to send the messages  (G0012_S0002_0_SPK004-1251.650-1255.870.wav)
 to to the people far far from him  (G0012_S0002_0_SPK004-1257.560-1260.250.wav)
就是会会会训练那些歌子  (G0012_S0002_0_SPK004-1261.070-1263.730.wav)
然后  (G0012_S0002_0_SPK004-1264.250-1264.893.wav)
格子也也是一种爱情的象征哈就是  (G0012_S0002_0_SPK004-1265.480-1269.169.wav)
对寄寄托着那种美好的情感 those beautiful feelings  (G0012_S0002_0_SPK004-1269.589-1274.085.wav)
嗯  (G0012_S0002_0_SPK004-1275.471-1275.829.wav)
对  (G0012_S0002_0_SPK004-1276.310-1276.840.wav)
嗯对鸽子也是和平的象征 there sb of piece  (G0012_S0002_0_SPK004-1280.060-1283.693.wav)
那么  (G0012_S0002_0_SPK004-1290.020-1290.610.wav)
好像是站的和平鸽哈  (G0012_S0002_0_SPK004-1291.370-1293.040.wav)
 piece a pity  (G0012_S0002_0_SPK004-1294.700-1296.371.wav)
对  (G0012_S0002_0_SPK004-1297.556-1297.960.wav)
嗯  (G0012_S0002_0_SPK004-1300.250-1300.900.wav)
对  (G0012_S0002_0_SPK004-1303.250-1303.900.wav)
对对对他们希望喝平鸽的可以飞便全世界然后预试着世界和平  (G0012_S0002_0_SPK004-1310.540-1315.295.wav)
